update_step,policy_loss,value_loss,hand_pred_loss,entropy,train_count,value_acc,value_brier,policy_kl,policy_top1_match,pos_rate,cum_pos_rate,hand_label_pos_rate,samples,val_policy_loss,val_value_loss,val_hand_pred_loss,val_hand_recall,vt_count,vt_mean,vt_std,vt_min,vt_max,vt_clip_neg,vt_clip_pos
0,,,,,,,,,,,,,,0.7570787668228149,0.6568326950073242,0.2700183689594269,0.4980995162404976,,,,,,,
30,0.8347879648208618,0.679416298866272,0.26550424098968506,0.8358331918716431,30,0.65234375,0.21876988662729838,0.14656622937241082,0.6484375,0.3359375,,0.24621732532978058,256,0.846593976020813,0.6593489646911621,0.2689237892627716,0.49486807189706106,23840,0.30335570469798656,0.4597075386864724,0.0,1.0,0,7232
60,0.8855292797088623,0.6451098322868347,0.2619078755378723,0.8892817497253418,60,0.69921875,0.2018047610175479,0.174081909321103,0.625,0.30078125,,0.2542372941970825,256,0.8418372869491577,0.648220419883728,0.26908260583877563,0.4898057452766831,23562,0.3033698327815975,0.4597135818525086,0.0,1.0,0,7148
90,0.8454166650772095,0.642795205116272,0.26195085048675537,0.84651118516922,90,0.6640625,0.20090390891678167,0.16889058491869946,0.62890625,0.3359375,,0.2496873289346695,256,0.8444249033927917,0.6307110786437988,0.2681017816066742,0.5098026910332363,23893,0.3051939898715105,0.46048954213729854,0.0,1.0,0,7292
120,1.0335674285888672,0.639331579208374,0.2586856782436371,1.0327662229537964,120,0.6640625,0.19943634384780098,0.200203749812772,0.58203125,0.3359375,,0.2556859254837036,256,0.803002119064331,0.6238281726837158,0.2678070068359375,0.49691580853947387,24028,0.3027717662726819,0.4594573144708901,0.0,1.0,0,7275
150,0.8272385597229004,0.6220284700393677,0.261356383562088,0.8324999213218689,150,0.671875,0.19154993317893837,0.16710025930842676,0.625,0.328125,,0.2452564239501953,256,0.8447899222373962,0.6388013362884521,0.26570799946784973,0.5478686493184635,23877,0.30116848850358086,0.45876576816066966,0.0,1.0,0,7191
180,0.7444069385528564,0.5841127634048462,0.25941869616508484,0.7457135915756226,180,0.71484375,0.1738724235584704,0.14399066211797162,0.6484375,0.28515625,,0.24796685576438904,256,0.8422797322273254,0.6224172711372375,0.2643015682697296,0.5797552891923546,24191,0.3043280558885536,0.4601222558056141,0.0,1.0,0,7362
210,0.953153133392334,0.550411581993103,0.2576613426208496,0.9510577917098999,210,0.71875,0.15991075289239753,0.1949910729599651,0.61328125,0.30859375,,0.25129199028015137,256,0.8290882110595703,0.6348987817764282,0.26472121477127075,0.6023180190553313,24205,0.3035736418095435,0.4598007022700536,0.0,1.0,0,7348
240,0.9128165245056152,0.45514029264450073,0.255045622587204,0.9160329103469849,240,0.83203125,0.12122838769621119,0.1818487682394334,0.6171875,0.2890625,,0.2578653395175934,256,0.822119951248169,0.6738325357437134,0.2634819746017456,0.6473770144454277,23831,0.3056523016239352,0.4606831580771389,0.0,1.0,0,7284
270,0.7400305271148682,0.4557427763938904,0.2587074935436249,0.7413399815559387,270,0.8046875,0.12236006216178666,0.14353806483927656,0.7109375,0.3515625,,0.2422628104686737,256,0.8237935304641724,0.7402709722518921,0.2638579308986664,0.6677156398104266,23974,0.300659047301243,0.45854463749688756,0.0,1.0,0,7208
300,0.7474145889282227,0.4595649242401123,0.257107138633728,0.7523293495178223,300,0.8046875,0.12189228546809823,0.14202189135767185,0.66796875,0.3046875,,0.24612197279930115,256,0.836569607257843,0.7776523232460022,0.26382359862327576,0.6817900415671708,23834,0.30578165645716204,0.46073770741222836,0.0,1.0,0,7288
